Name,B2,B6,B7,B9,B10,B11,B14,B15,BRBR
NLM027_GL0063800,0,0,0,1,0,1,1,1,0
MH0425_GL0117863,0,0,0,1,0,1,1,1,0
O2.UC48-1_GL0153284,0,0,0,1,0,1,1,1,0
DOF012_GL0049886,0,0,0,1,0,1,1,1,0
MH0014_GL0062875,0,0,0,1,0,1,1,1,0
T2D-45A_GL0143625,0,0,0,1,0,1,1,1,0
DLM016_GL0022322,0,0,0,1,0,1,1,1,1
O2.UC49-0_GL0119953,0,0,0,1,0,0,0,0,0
V1.CD3-3-PN_GL0072172,0,0,0,1,0,1,1,1,0
V1.UC39-4_GL0062806,0,0,0,1,0,1,1,1,0
585054.EFER_0954,0,0,0,1,0,1,1,1,0
585054.EFER_1094,0,0,0,1,0,1,1,1,0
MH0303_GL0057916,0,0,0,1,0,1,1,1,0
DLF002_GL0049242,0,0,0,1,0,1,1,1,0
V1.UC21-4_GL0044713,0,0,0,1,0,1,1,1,0
MH0014_GL0034995,0,0,0,1,1,1,1,1,1
749542.HMPREF9545_05211,0,0,0,1,0,1,0,1,1
358708.Sd1012_2684,0,0,0,1,0,1,1,1,0
ED20A_GL0036019,0,0,0,1,0,1,0,1,0
V1.FI02_GL0179477,0,0,0,1,1,1,1,1,1
MH0358_GL0140366,0,0,0,1,0,1,1,1,0
670890.ECLT68_0960,0,0,0,1,0,1,1,1,0
T2D-102A_GL0144164,0,0,0,1,0,1,1,1,1
1028307.EAE_11380,0,0,0,1,0,1,0,1,0
MH0402_GL0098139,0,0,0,1,0,1,1,1,0
MH0425_GL0119426,0,0,0,1,0,1,1,1,0
1028307.EAE_04955,0,0,0,1,0,1,1,1,0
358708.Sd1012_0249,0,0,0,1,0,1,1,1,0
T2D-108A_GL0130817,0,0,0,1,0,1,1,1,0
MH0425_GL0061753,0,0,0,1,0,1,0,1,0
DOM005_GL0005117,0,0,0,1,0,1,1,1,0
MH0014_GL0062879,0,0,0,1,0,1,1,1,1
MH0247_GL0113633,0,0,0,1,0,1,1,1,0
521000.PROVRETT_08319,0,0,0,1,0,1,1,1,0
MH0247_GL0096506,0,0,0,1,0,1,1,1,0
MH0260_GL0151390,0,0,0,1,0,1,1,1,0
MH0367_GL0153080,0,0,0,1,0,0,0,0,0
1045856.EcWSU1_02748,0,0,0,1,0,1,0,1,0
SZEY-07A_GL0013792,0,0,0,1,0,1,1,1,0
NLM003_GL0033911,0,0,0,1,0,1,1,1,0
T2D-108A_GL0064908,0,0,0,1,0,1,1,1,1
SZEY-68A_GL0081369,0,0,0,1,0,1,1,1,0
MH0037_GL0044862,0,0,0,1,0,0,0,0,1
REV__O2.UC48-0_GL0167293,0,0,0,1,0,0,0,0,0
O2.UC3-1_GL0171672,0,0,0,1,0,0,0,0,1
V1.FI33_GL0111476,0,0,0,1,0,0,0,0,1
MH0293_GL0038915,0,0,0,1,0,0,0,0,1
MH0002_GL0031684,0,0,0,1,0,0,0,0,1
MH0348_GL0004763,0,0,0,1,0,0,0,0,1
V1.CD5-0-PN_GL0040311,0,0,0,1,0,0,0,0,0
MH0268_GL0157116,0,0,0,1,0,0,0,0,0
MH0012_GL0010736,0,0,0,1,0,0,0,0,1
MH0159_GL0056846,0,0,0,1,0,0,0,0,1
MH0420_GL0118357,0,0,0,1,0,0,0,0,0
NOF005_GL0017301,0,0,0,1,0,0,0,0,0
MH0002_GL0030974,0,0,0,1,0,0,0,0,1
MH0089_GL0003092,0,0,0,1,0,0,0,0,1
MH0020_GL0063554,0,0,0,1,0,0,0,0,1
MH0002_GL0031685,0,0,0,1,0,0,0,0,1
MH0003_GL0058531,0,0,0,1,1,0,1,0,0
V1.CD3-0-PT_GL0067326,0,0,0,1,0,0,0,0,1
MH0002_GL0007885,0,0,0,1,0,0,0,0,1
MH0013_GL0012920,0,0,0,1,1,0,0,0,0
V1.FI06_GL0110308,0,0,0,1,0,0,0,0,0
HT14A_GL0031928,0,0,0,1,0,0,0,0,0
HT25A_GL0014282,0,0,0,0,1,1,1,1,0
V1.UC39-4_GL0015279,0,0,0,0,1,0,0,0,0
NOM004_GL0032174,0,0,0,0,1,1,1,1,0
MH0108_GL0070803,0,0,0,0,1,0,0,0,0
MH0097_GL0018656,0,0,0,0,1,1,1,1,1
NLF008_GL0036555,0,0,0,0,1,1,1,1,0
MH0006_GL0139493,0,0,0,0,1,0,0,0,0
MH0001_GL0010989,0,0,0,0,1,0,0,0,0
T2D-63A_GL0077370,0,0,0,0,1,0,0,0,0
O2.CD1-0_GL0175299,0,0,0,0,1,0,0,0,0
V1.UC57-0_GL0188433,0,0,0,0,1,0,0,0,0
V1.CD21-4_GL0040790,0,0,0,0,1,0,0,0,0
MH0222_GL0025387,0,0,0,0,1,0,0,0,0
MH0181_GL0090161,0,0,0,0,1,0,0,0,0
REV__MH0020_GL0056952,0,0,0,0,1,0,0,0,0
MH0373_GL0193462,0,0,0,0,1,0,0,0,0
V1.CD12-3_GL0104604,0,0,0,0,1,0,0,0,0
MH0233_GL0035314,0,0,0,0,1,0,0,0,0
MH0076_GL0012504,0,0,0,0,1,0,0,0,0
MH0150_GL0060158,0,0,0,0,1,0,0,0,0
O2.UC11-0_GL0008057,0,0,0,0,1,0,0,0,0
V1.CD38-0_GL0136431,0,0,0,0,1,0,0,0,0
O2.UC58-2_GL0128138,0,0,0,0,1,0,0,0,0
O2.UC19-2_GL0005256,0,0,0,0,1,0,0,0,0
O2.UC22-2_GL0138063,0,0,0,0,1,0,0,0,0
MH0009_GL0028660,0,0,0,0,1,0,0,0,0
V1.UC54-0_GL0062080,0,0,0,0,1,0,0,0,0
MH0006_GL0158028,0,0,0,0,1,0,0,0,0
MH0067_GL0015536,0,0,0,0,1,0,0,0,0
MH0011_GL0053538,0,0,0,0,1,0,0,0,0
O2.UC16-1_GL0052335,0,0,0,0,1,0,0,0,0
MH0260_GL0123332,0,0,0,0,0,1,1,1,0
MH0315_GL0077237,0,0,0,0,0,1,1,1,1
MH0014_GL0021723,0,0,0,0,0,1,1,1,1
469595.CSAG_03074,0,0,0,0,0,1,0,1,0
MH0014_GL0023206,0,0,0,0,0,1,1,1,0
716541.ECL_04766,0,0,0,0,0,1,1,1,0
DLM009_GL0026039,0,0,0,0,0,1,1,0,1
NLM027_GL0006664,0,0,0,0,0,1,0,1,0
